name,profession,street,postal_code,city,telephone,website
Bleumortier Elektro GmbH München,elektroinstallationen,Ledererstr. 17,80331,München (Altstadt) 287 m,089 22 31 11,
Friedrich Liebhart GmbH | Elektroinstallationen | Elektrofachhandel |Reparaturen,elektroinstallationen,Hofangerstr. 12,81735,"München (Ramersdorf) 4,6 km",089 40 47 33,
Karl Greiner GmbH Elektro |Haustechnik | Sanitär | Badezimmerrenovierungen| Entkalkungen |Wasseraufbereitung | Wärmepumpen,elektroinstallationen,Stolzhofstr. 28,81825,"München (Trudering) 8,2 km",089 42 26 55,
Sift Elektroanlagen Meisterbetrieb der Elektroinnung,elektroinstallationen,Kreuzstr. 2,85551,"Kirchheim 14,1 km",089 9 03 95 00,
TP Networks Dienstleistungs GmbH,elektroinstallationen,Klausenburger Str. 9,81677,"München (Bogenhausen) 5,2 km",089 3 57 15 10,
Furtmayr Elektroanlagen GmbH,elektroinstallationen,Lochhamer Schlag 5,82166,"Gräfelfing (Lochham) 9,3 km",089 70 05 88 00,
GÖPFERT ELEKTROTECHNIK GMBH,elektroinstallationen,Allacher Str. 233,80997,"München (Untermenzing) 8,9 km",089 89 22 49 36,
Elektro Dendl GbR,elektroinstallationen,Rößeler Str. 28,81929,"München (Bogenhausen) 5,4 km",089 93 17 79,
Elektro Wagner GmbH & Co. KG,elektroinstallationen,Erfurter Str. 7,85386,"Eching 19,1 km",089 3 19 26 84,
Georg Huber Elektroanlagen GmbH,elektroinstallationen,Hauptstr. 24,82131,"Gauting (Unterbrunn) 20,2 km",089 89 33 67 85,
GET Geier Elektrotechnik GmbH,elektroinstallationen,Griesbergstr. 2,82205,"Gilching (Geisenbrunn) 18,8 km",08105 77 34 74,
Naumann,elektroinstallationen,Ickelsamerstr. 19,81825,"München (Trudering) 7,7 km",089 42 57 57,
Abold GmbH Elektroinstallation & Service,elektroinstallationen,Leonrodstr. 67,80636,"München (Neuhausen) 3,3 km",089 5 00 49 79,
Elektro-Stöckert-Fernmeldebau GmbH,elektroinstallationen,Abensbergstr. 59 -61,80993,"München (Moosach) 7,8 km",089 14 40 01,
Göpfert Elektrotechnik GmbH,elektroinstallationen,Allacher Str. 233,80997,"München (Untermenzing) 8,9 km",089 89 22 49 36,
Halbritter & Meir Elektroanlagen GmbH,elektroinstallationen,Reichenbachstraße 10,80469,München (Isarvorstadt) 497 m,089 26 82 03,
Neon-Haas GmbH,elektroinstallationen,Rößeler Str. 12,81929,"München (Bogenhausen) 5,2 km",089 93 14 39,
ELFREMA Elektroanlagen GmbH,elektroinstallationen,Lindberghstr. 26,80939,"München (Freimann) 6,2 km",089 3 22 87 57,
AEK Elektroschnelldienst & Aufzüge,elektroinstallationen,Griegstr. 1 A,80807,München (Milbertshofen) 5 km,089 5 44 25 50,
Gerhard Deichsel Elektroanlagen GmbH / Elektriker München,elektroinstallationen,Plankenhofstr. 29,81929,München (Bogenhausen) 6 km,089 93 19 91,
Götzberger Elektroanlagen GmbH,elektroinstallationen,Ottostr. 39,85521,"Ottobrunn 11,1 km",089 6 09 78 56,
W. Berghammer GmbH Elektro-Anlagen,elektroinstallationen,Haldenseestraße 39,81671,"München (Ramersdorf) 4,4 km",089 49 28 86,
Hans Nothaft Elektroinstallation e.K.,elektroinstallationen,Pippinger Str. 49,81245,"München (Obermenzing) 9,1 km",089 8 11 43 12,
Sponton Elektrische und Mechanische Werkstätten,elektroinstallationen,Maistr. 55,80337,"München (Isarvorstadt) 1,6 km",089 53 34 59,
Lankisch Frank,elektroinstallationen,Zieblandstr. 4,80799,"München (Maxvorstadt) 1,6 km",089 2 72 02 27,
