name,profession,street,postal_code,city,telephone,website
Eglseder Installationen GmbH,sanitärinstallation,Haslangstr. 44,80689,"München (Laim) 6,2 km",089 56 29 17,
Helmut Zach & Co | Gas | Wasser |Heizung | Rohrreinigung |Kernbohrung,sanitärinstallation,Elritzenstr. 30,81825,"München (Trudering) 6,6 km",089 42 20 03,
Josef Karl RFK Rollladen & Fenster,sanitärinstallation,Streitbergstr. 8,81249,"München (Aubing) 12,1 km",089 82 02 03 50,
Wilhelm Stör & Söhne Sanitär- und Heizungsbau GmbH,sanitärinstallation,Langwieder Hauptstr. 2 -4,81249,"München (Lochhausen) 13,3 km",089 8 63 48 02,
Luksch Service Sanitär und Rohrreinigung,sanitärinstallation,Sigmund-Riefler-Bogen 6,81829,"München (Riem) 10,3 km",089 42 49 80,
Memminger GmbH,sanitärinstallation,Balanstr. 378,81549,"München (Obergiesing) 5,9 km",089 68 51 21,
DEMOTECH Gebäudetechnik Inh.: E. Perras,sanitärinstallation,Waldsiedlung 3,85649,Brunnthal (Faistenhaar) 19 km,08104 64 78 61,
Gässl Sanitär GmbH,sanitärinstallation,Angerlohstr. 15,80997,"München (Allach) 9,3 km",089 8 12 12 26,
Kustermann Wärmetechnik GmbH,sanitärinstallation,Südliche Münchner Str. 24A,82031,"Grünwald 10,9 km",089 6 41 17 88,
Liegl Heizungsbau,sanitärinstallation,Jahnstr. 16,85521,Ottobrunn 10 km,089 60 85 34 14,
Badewannen-Renovierung Schmidt,sanitärinstallation,Renatastr. 43,80634,"München (Neuhausen) 3,8 km",089 70 37 43,
Breitwieser Ein Unternehmensbereich der API Energie-undVersorgungstechnikGmbH,sanitärinstallation,Lochhamer Schlag 10,82166,"Gräfelfing (Lochham) 9,5 km",089 8 11 12 13,
Henseleit Klaus,sanitärinstallation,Leipziger Str. 73,80993,"München (Moosach) 6,7 km",089 1 49 58 01,
Schieweck T. - Max Funke GmbH,sanitärinstallation,Rosenheimer Landstr. 9,85521,"Ottobrunn 9,5 km",089 5 89 39 70,
Bauer Konrad GmbH,sanitärinstallation,Aubinger Weg 5,82110,Germering (Neugermering) 15 km,089 82 07 93 70,
"Landshammer GmbH Heizungsbau, Sanitärinstallationen",sanitärinstallation,Hansastr. 15,80686,"München (Sendling-Westpark) 3,7 km",089 88 14 40,
Prüflinger GmbH - Heizung und Sanitär,sanitärinstallation,Heldackerweg 18 A,81827,München (Trudering) 9 km,089 4 30 37 27,
Vehlow Bad & Heizung | München,sanitärinstallation,Engelbertstr. 2,81241,"München (Pasing) 8,8 km",089 88 30 73,
Bayerische Haustechnik,sanitärinstallation,Baldhamer Str. 8,81671,"München (Ramersdorf) 3,3 km",0174 7 07 77 88,
Henry Sanitär & Heizung,sanitärinstallation,Amberger Str. 34,81679,"München (Bogenhausen) 3,3 km",0179 7 79 73 79,
Florian Häusler Heizung - Sanitär GmbH,sanitärinstallation,Brodersenstr. 32,81929,"München (Bogenhausen) 5,8 km",089 93 35 77,
Preis Heinrich GmbH,sanitärinstallation,Altostr. 81,81249,"München (Aubing) 12,6 km",089 8 64 10 83,
